649,ゴルフ,,golf,13
650,セーター,,sweater,13
651,ぞう,象,elephant,13
652,バイオリン,,violin,13
653,バイク,,motorbike,13
654,ぶっか,物価,(consumer) prices,13
655,ぶんぽう,文法,grammar,13
656,べんごし,弁護士,lawyer,13
657,ぼしゅう,募集,recruitment,13
658,みせ,店,shop; store,13
659,やくざ,,yakuza; gangster,13
660,やくそく,約束,promise; appointment,13
661,レポート,,(term) paper,13
662,わたくし,私,I (formal),13
663,うれしい,,glad,13
664,かなしい,悲しい,sad,13
665,からい,辛い,hot and spicy; salty,13
666,きびしい,厳しい,strict,13
667,ちかい,近い,close; near,13
668,いろいろ,,various; different kinds of,13
669,しあわせ,幸せ,happy (lasting happiness),13
670,だめ,,no good,13
671,あむ,編む,to knit,13
672,かす,貸す,to lend; to rent,13
673,がんばる,頑張る,to do one's best; to try hard,13
674,なく,泣く,to cry,13
675,みがく,磨く,to brush (teeth); to polish,13
676,やくそくをまもる,約束を守る,to keep a promise,13
677,かんどうする,感動する,to be moved/touched (by ...),13
678,いらっしゃいます,,(someone honorable) is present/home,13
679,じつは,実は,"as a matter of fact, ...",13
680,ぜんぶ,全部,all,13
681,いちにち,一日,one day,13
682,ふつか,二日,two days,13
683,みっか,三日,three days,13
684,よっか,四日,four days,13
685,いつか,五日,five days,13
686,むいか,六日,six days,13
687,なのか,七日,seven days,13
688,ようか,八日,eight days,13
689,ここのか,九日,nine days,13
690,とおか,十日,ten days,13
691,よろしくおねがいします,よろしくお願いします,Thank you (in advance),13
692,ぬいぐるみ,,"stuffed animal (e.g., teddy bear)",14
693,あに,兄,(my) older brother,14
694,おおやさん,大家さん,landlord,14
695,おかえし,お返し,return (as a token of gratitude),14
696,おくさん,奥さん,(your/his) wife,14
697,おじさん,,uncle; middle-aged man,14
698,おばさん,,aunt; middle-aged woman,14
699,クラブ,,club; student society,14
700,クリスマス,,Christmas,14
701,ごしゅじん,,(your/her) husband,14
702,コップ,,tumbler; glass,14
703,さら,皿,plate; dish,14
704,じかん,時間,time,14
705,チョコレート,,chocolate,14
706,でんしメール,電子メール,e-mail,14
707,ネクタイ,,necktie,14
708,はは,母,(my) mother,14
709,バレンタインデー,,St. Valentine's Day,14
710,ビデオカメラ,,camcorder,14
711,ふうふ,夫婦,married couple; husband and wife,14
712,ホワイトデー,,White Day,14
713,マフラー,,winter scarf,14
714,まんが,漫画,comic book,14
715,マンション,,multistory apartment; condominium,14
716,みかん,,mandarin,14
717,ゆびわ,指輪,ring,14
718,りょうしん,両親,parents,14
719,りれきしょ,履歴書,resume,14
720,ほしい,欲しい,to want,14
721,けち,,stingy; cheap,14
722,おくる,送る,to send,14
723,にあう,似合う,to look good (on somebody),14
724,あきらめる,,to give up,14
725,あげる,,to give (to others),14
726,くれる,,to give (me),14
727,できる,,to come into existence; to be made,14
728,そうだんする,相談する,to consult,14
729,プロポーズする,,to propose marriage,14
730,おなじ,同じ,same,14
731,きょねん,去年,last year,14
732,わたしたち,私たち,we,14
733,ちょうど,,exactly,14
734,よく,,well,14
735,こ,個,[generic counter for smaller items],14
736,さつ,冊,[counter for bound volumes],14
737,だい,台,[counter for equipment],14
738,ひき,匹,[counter for smaller animals],14
739,ぽん,本,[counter for long objects],14
740,え,絵,painting; picture; drawing,15
741,えいがかん,映画館,movie theater,15
742,がいこくじん,外国人,foreigner,15
743,かぐ,家具,furniture,15
744,かんこう,観光,sightseeing,15
745,けっこんしき,結婚式,wedding,15
746,じしん,地震,earthquake,15
747,しめきり,締め切り,deadline,15
748,ジャケット,,jacket,15
749,しゅうかん,習慣,custom,15
750,ぜいきん,税金,tax,15
751,そつぎょうしき,卒業式,graduation ceremony,15
752,そば,,Japanese buckwheat noodle,15
753,ちず,地図,map,15
754,でんち,電池,battery,15
755,にわ,庭,garden,15
756,はっぴょう,発表,presentation,15
757,ばんぐみ,番組,broadcast program,15
758,プール,,swimming pool,15
759,ペット,,pet,15
760,よてい,予定,schedule,15
761,りょかん,旅館,inn,15
762,わりびきけん,割引券,discount coupon,15
763,ひろい,広い,spacious; wide,15
764,うる,売る,to sell,15
765,おろす,下ろす,to withdraw (money),15
766,かく,,to draw; to paint,15
767,さがす,探す,to look for,15
768,さそう,誘う,to invite,15
769,つきあう,付き合う,(1) to date (someone) (2) to keep company,15
770,つく,着く,to arrive,15
771,ほけんにはいる,保険に入る,to buy insurance,15
772,きをつける,気をつける,to be cautious/careful,15
773,しらべる,調べる,to look into (a matter),15
774,すてる,捨てる,to throw away,15
775,みえる,見える,to be visible,15
776,する,,to decide on (an item),15
777,そつぎょうする,卒業する,to graduate (from ...),15
778,よやくする,予約する,to reserve,15
779,いちにちじゅう,一日中,all day long,15
780,さいきん,最近,recently,15
781,えきいん,駅員,station attendant,16
782,おや,親,parent,16
783,ごみ,,garbage,16
784,さとう,砂糖,sugar,16
785,しょうがくきん,奨学金,scholarship,16
786,しんせき,親せき,relatives,16
787,すいせんじょう,推薦状,letter of recommendation,16
788,だいがくいん,大学院,graduate school,16
789,たいふう,台風,typhoon,16
790,ひ,日,day,16
791,ファイル,,file; portfolio,16
792,みち,道,way; road; directions,16
793,めざましどけい,目覚まし時計,alarm clock,16
794,きたない,汚い,dirty,16
795,おこす,起こす,to wake (someone) up,16
796,おごる,,to treat (someone) to a meal,16
797,おちこむ,落ち込む,to get depressed,16
798,こまる,困る,to have difficulty,16
799,だす,出す,to take (something) out; to hand in (something),16
800,つれていく,連れていく,to take (someone) to (a place),16
801,なおす,直す,to correct; to fix,16
802,みちにまよう,道に迷う,to become lost; to lose one's way,16
803,やくす,訳す,to translate,16
804,わらう,笑う,to laugh,16
805,アイロンをかける,,to iron (clothes),16
806,あつめる,集める,to collect,16
807,いれる,入れる,to put (something) in,16
808,のりおくれる,乗り遅れる,"to miss (a train, bus, etc.)",16
809,みせる,見せる,to show,16
810,あさねぼうする,朝寝坊する,to oversleep,16
811,あんないする,案内する,to show (someone) around,16
812,せつめいする,説明する,to explain,16
